Class	Type	Kit	Tags	Description
Alchemist	Enchanter	Bag of Holding	Alchemy	You have a bag that’s bigger on the inside than the outside, capable of reducing the weight of objects placed within. You can expend a Charge Point to place a particularly large or heavy object within. The object should generally be less than 300 lbs. and less than five times the bag’s size.
Alchemist	Enchanter	Golem	Alchemy	You have a golem made from clay, capable of fighting and lifting heavy objects. The golem has a Strength equal to half your Knowledge rounded down. You can expend a Charge Point to create an additional golem.
Alchemist	Enchanter	Potency	Resource	Gain an additional two Charge Points. When you Produce a Potion, the potion restores an additional box of Physical damage.
Alchemist	Enchanter	Quicksilver Familiar	Alchemy, Reaction	You have a familiar made from liquid metal, capable of shaping itself into weapons, tools, and objects. You can expend a Charge Point to deflect an attack by having the familiar change into a shield or similar object.
Alchemist	Enchanter	Shikigami	Alchemy	You have a servant made from enchanted paper, capable of flying, spying, and carrying messages. The shikigami has a Cunning equal to half your Knowledge rounded down. You can expend a Charge Point to create an additional servant.
Alchemist	Enchanter	Spirit of Animation	Spirit	Awaken inanimate objects, compel them to move and act on your orders.
Alchemist	Sapper	Called Shot	Technique	Your attacks are exceptionally precise. Using this technique allows you to harm specific targets (like eyes or hands), in addition to any Physical damage dealt. You have Advantage when making ranged attacks without any distractions.
Alchemist	Sapper	Electromagnetic Charges	Alchemy	Attacks that use this ammunition are electrically charged, shocking or magnetizing targets in addition to any Physical damage dealt. When used with Produce a Grenade inflicts Physical damage and one other effect in a wide area.
Alchemist	Sapper	Friction Charges	Alchemy	Attacks that use this ammunition involve capsules of liquid, producing quick-drying adhesive or slippery grease in addition to any Physical damage dealt. When used with Produce a Grenade this kit inflicts Physical damage and one other effect in a wide area.
Alchemist	Sapper	Thermic Charges	Alchemy	Attacks that use this ammunition have thermal properties, producing flames or frost on targets in addition to any Physical damage dealt. When used with Produce a Grenade this kit inflicts Physical damage and one other effect in a wide area.
Alchemist	Sapper	Trenchsteel Charges	Alchemy	Attacks that use this ammunition are physically loaded, exploding into a mass of ball bearings or barbed wire in addition to any Physical damage dealt. When used with Produce a Grenade this kit inflicts Physical damage and one other effect in a wide area.
Alchemist	Sapper	Vapor Charges	Alchemy	Attacks that use this ammunition are chemically loaded, instantly rusting through metal or producing small clouds of tear gas in addition to any Physical damage dealt. When used with Produce a Grenade this kit inflicts Physical damage and one other effect in a wide area.
Alchemist	Transmuter	Transmute Division	Alchemy	Separate objects. Can be used to physically sever two objects from one another, or to distill an object into its base elements. The more complex the intended result is, the more difficult the change. Requires physical contact.
Alchemist	Transmuter	Transmute Self	Alchemy, Resource	Expend a Mental box to recover a Physical box or vice versa. Can only be applied to yourself. When done in combat, requires an action.
Alchemist	Transmuter	Transmute Shape	Alchemy	Reshape an object, altering its form by expanding or contracting its mass. Requires physical contact.
Alchemist	Transmuter	Transmute Strength	Alchemy	Strengthen an object, making it harder and more durable. Or weaken an object, making it flimsy and more brittle. Requires physical contact.
Alchemist	Transmuter	Transmute Substance	Alchemy	Convert one material into another. The greater the difference from the original, the more difficult the change. Requires physical contact.
Alchemist	Transmuter	Transmute Synthesis	Alchemy	Combine objects. Can be used to physically weld two objects to one another, or to mix them into one another as a means of creating a new object. The more complex the intended result is, the more difficult the change. Requires physical contact.
