Class	Type	Kit	Tags	Description
Scoundrel	Assassin	Assassinate	Combat, Stealth	Your sneak attacks deal an additional box of Physical damage. You can use Assume a Disguise to disappear from sight, taking an action to do so if done in combat. You can tell if a target will be incapacitated by your sneak attack before you strike.
Scoundrel	Assassin	Convincing Fake	Exploration, Health	Choose a Skill and raise it to half the level of your highest Skill (rounded down). You can spend a Prep Point to change the chosen Skill, provided you have a few minutes to concentrate.
Scoundrel	Assassin	Infiltration Team	Social, Stealth	Nearby allies can use your Cunning when moving in stealth. When you use Assume a Disguise, you can provide disguises to your allies as well. When you or an ally would otherwise be revealed, you can spend a Prep Point to prevent it, so long as you can narratively describe how you do so.
Scoundrel	Assassin	Pin Down	Combat, Technique	Your attacks reduce an enemy’s movement, cutting off their ability to escape or pursue. Using this technique greatly reduces a target’s mobility, in addition to any Physical damage dealt. You have Advantage when using Agility to sprint, as might be the case when chasing after someone or retreating from danger.
Scoundrel	Assassin	Pressure Points	Combat, Technique, Stealth	Your attacks strike at an enemy’s nerves. Using this technique can incapacitate targets without lasting harm or visible injury, in addition to any Physical damage dealt. You have Advantage when sensing the motivations of others, such as detecting lies, by picking up on nervous ticks or other tells.
Scoundrel	Assassin	Spirit of Shadow	Spirit, Stealth	Manipulate shadows, obscure appearances, and blind enemies. You can spend a Prep Point to use Cunning or Agility when using this spirit.
Scoundrel	Bard	Charm Arcana	Social	You can use Cunning as though it were Presence, Bravery, or Knowledge for social purposes. You can spend a Prep Point to reroll a social action and take the higher result, a maximum of one time per social action. You can use I Know a Guy without spending Prep Points.
Scoundrel	Bard	Lore Arcana	Exploration	You have a perfect memory while this Kit is equipped, capable of recalling minute details or committing a book to memory in minutes. You can use What You Needed to recall information in place of a Knowledge roll.
Scoundrel	Bard	Resilience Arcana	Health, Recovery	Gain an additional Physical box. You can exchange Mental boxes for Prep Points and vice versa, and can do so as an action while in combat. You do not need to sleep, and cannot be rendered unconscious against your will, but can be incapacitated in other ways.
Scoundrel	Bard	Spirit of Light	Combat, Exploration, Spirit	Manipulate light, create ghostly illusions, and see afar. You can spend a Prep Point to use Cunning or Agility when using this spirit.
Scoundrel	Bard	Spirit of Sound	Combat, Exploration, Spirit	Manipulate sound, shatter eardrums, and eavesdrop from afar. You can spend a Prep Point to use Cunning or Agility when using this spirit.
Scoundrel	Bard	War Arcana	Combat, Technique	Your fighting style resembles dancing, making you particularly mobile. Using this technique allows you to move before and after making an attack, escaping from melee range or otherwise covering ground. You have Advantage when reacting to traps or similar surprise attacks.
Scoundrel	Ranger	Herbalism	Recovery	You can use What You Needed to heal Physical and Mental damage outside of combat. You are immune to all poisons, diseases, and similar effects.
Scoundrel	Ranger	Prepared	Exploration, Health	Gain an additional two Prep Points. When you use a Prep Point to change Kits, you can change two Kits instead of one.
Scoundrel	Ranger	Quickdraw	Combat, Technique, Stealth	Your attacks are swift and silent, preventing targets from crying out when struck. Using this technique ensures that an enemy won’t cause a commotion for a brief period of time, in addition to any Physical damage dealt. You have Advantage when determining who acts first, including combat turn order.
Scoundrel	Ranger	Spirit of Wood	Combat, Exploration, Spirit	Manipulate plants, encourage growth, and influence the environment. Represents growth and vitality. You can spend a Prep Point to use Cunning or Agility when using this spirit.
Scoundrel	Ranger	Tamer	Combat, Exploration, Social	You can speak with and understand beasts. You can use I Know a Guy to recruit a local beast to aid you. The beast can track, fight, and is capable of anything that a creature of its kind might otherwise do. The beast will follow your orders, but will prioritize its own survival. Only one beast can be recruited at a time.
Scoundrel	Ranger	Twin Strike	Combat, Technique	Your attacks hit two targets instead of one. Using this technique gives your attack an additional target, with both hits landing within moments of one another. The additional target cannot be the same as the original target.
