Class	Type	Kit	Tags	Description
Advanced	Antiquarian	Sigil of Chaos	Sigil	An eye-catching design of messy spirals. Can be used to weaken objects, cause Mental damage, and produce a pulling force. The strength of the effect is proportional to the size of sigil drawn and the Knowledge of the artist. You have Advantage when actively searching for information.
Advanced	Antiquarian	Sigil of Creation	Sigil	A beautiful design of graceful curves. Can be used to build or reshape an object. The strength of the effect is proportional to the size of sigil drawn and the Knowledge of the artist. You have Advantage trying to determine what an object is made out of.
Advanced	Antiquarian	Sigil of Destruction	Sigil	A fearsome design of jagged edges. Can be used to violently destroy or damage an object. The strength of the effect is proportional to the size of sigil drawn and the Knowledge of the artist. You have Advantage when looking for the weak points of an object or enemy.
Advanced	Antiquarian	Sigil of Order	Sigil	A neatly structured design of interlocking symbols. Can be used to reinforce objects, protect against intrusion, and produce a repelling force. The strength of the effect is proportional to the size of sigil drawn and the Knowledge of the artist. You have Advantage when detecting threats.
Advanced	Antiquarian	Skywax Stamps	Gear	A set of wax stamps made from an inert material and alchemic paints. Can be used to instantly mark objects with low-power sigils that you have equipped.
Advanced	Antiquarian	Vitriolic Edge	Gear, Weapon, High Damage	A dagger that sweats acid, useful for etching stone and similar materials. Using this weapon causes painful acid burns. Successful attacks deal an additional box of Physical damage.
Scoundrel	Assassin	Golden Silk	Alchemy	A hallucinogenic dust that can be powdered on gloves or thrown. Can be used to induce confusion, render someone highly suggestible, or inflict Mental damage. You have Advantage when lying to others.
Scoundrel	Assassin	Heartstop Thorns	Gear, Weapon, Ranged, High Damage	A set of needles tipped with paralyzing poison. Using this weapon greatly reduces a target’s mobility, in addition to any Physical damage dealt. Successful attacks deal an additional box of damage.
Scoundrel	Assassin	Magebane Thorns	Gear, Weapon, Ranged	A set of silver needles coated in holy water. Using this weapon cuts off a target’s ability to use magic temporarily.
Scoundrel	Assassin	Manifold Venom	Alchemy	A collection of dangerous poisons that can be applied to weapons or slipped into drinks. Can be used to sap strength, cause blindness, or render targets unconscious. Requires an action if applied to a weapon in combat. You are immune to poisons.
Scoundrel	Assassin	Nerve Thorns	Gear, Weapon, Ranged	A set of transparent needles laced with nerve poison. Using this weapon can incapacitate targets without lasting harm or visible injury, in addition to any Physical damage dealt. You have Advantage when disguising your sneak attacks to avoid notice.
Scoundrel	Assassin	Talisman of Darkness	Talisman	A wand or other object that can be used to manipulate darkness. Can be used to obscure appearances, darken areas, and blind enemies. You have Advantage when hiding in dimly lit areas.
Scoundrel	Bard	Dervish Knives	Gear, Weapon, Ranged	A set of throwing knives that can be flicked through the air with ease. Using this weapon allows you to move before and after making an attack, darting outside of melee range or throwing blades while running. You have Advantage when performing acrobatics.
Scoundrel	Bard	Faerie Fire	Alchemy	A volatile powder used in fireworks. Can create plumes of smoke, bright lights, flames, and loud noises. You have Advantage when entertaining and distracting others.
Scoundrel	Bard	Fencing Knives	Gear, Defense	A set of daggers meant for close combat. Using this weapon gives you Advantage on rolls to dodge until the start of your next turn. You have Advantage on rolls to move swiftly, such as when retreating or pursuing.
Scoundrel	Bard	Holy Water	Alchemy	A specially treated liquid that negates magic. Can be used to counter spells, damage magical objects, and repel monsters. You have Advantage when resisting the effects of magic.
Scoundrel	Bard	Talisman of Light	Talisman	A wand or other object that can be used to manipulate light. Can be used to create ghostly illusions, see afar, and blind enemies. You have Advantage on rolls related to seeing.
Scoundrel	Bard	Talisman of Sound	Talisman	A wand or other object that can be used to manipulate sound. Can be used to project noises, eavesdrop from afar, and shatter eardrums. You have Advantage on rolls related to hearing.
