Class	Type	Kit	Tags	Description
Alchemist	Chemist	Basilisk Tongue	Exploration, Alchemy	A substance that can turn flesh to stone and stone to dust. When used as a potion, gives the user skin like stone for a short time, providing resistance to harm. When used as a venom, adds the “Petrification” status to an attack. When used as a grenade, does no damage, but dissolves stone and turns dirt into quicksand.
Alchemist	Chemist	Beast’s Blood	Exploration, Alchemy	A substance that attracts beasts and monsters. When used as a potion, allows the user to develop an animal-like adaptation for a short time, such as a dog’s sense of smell or a chameleon’s skin. When used as a venom, steals away the senses of the target. When used as a grenade, does no damage, but lures nearby beasts and drives them into a mindless frenzy.
Alchemist	Chemist	Dead Nettle Dust	Combat, Recovery, Alchemy	A substance that causes burns and rashes. When used as a potion, numbs the user to pain, preventing them from being incapacitated for a short time. When used as a venom, adds the “High Damage” status to an attack. When used as a grenade, inflicts Physical damage.
Alchemist	Chemist	Elixir	Recovery, Alchemy	A substance that miraculously heals wounds and restores peace of mind. When used as a potion, recovers two Physical boxes or two Mental boxes, user’s choice. When used as a venom, adds the “Break Healing” and “Soporific” status to an attack. When used as a grenade, does no damage but pacifies and diminishes hostility for a short time.
Alchemist	Chemist	Halcyon	Combat, Exploration, Alchemy	A substance coveted by magical creatures and spirits, but also a dangerous hallucinogenic. When used as a potion, allows the user to see and interact with spirits. When used as a venom, adds the “Mindbreak” status to an attack. When used as a grenade, inflicts Mental damage.
Alchemist	Chemist	Holy Water	Combat, Exploration, Alchemy	A substance that neutralizes magic and destroys the undead. When used as a potion, strips away curses and renders the user highly resistant to all forms of magic. When used as a venom, adds the “Break Magic” and “Spellbane” statuses to an attack. When used as a grenade, does no damage to living creatures, but purges magical effects in an area and does “High Damage” to the undead.
Alchemist	Enchanter	Clay Homunculus	Combat, Exploration, Alchemy	A set of polished quartz stones. You can spend a use of this Kit to plant a quartz in dirt or mud, creating a small clay golem, roughly three feet tall. The golem will follow its creator’s orders for twenty-four hours or until it is destroyed, whichever comes first. It has some intelligence and is able to fight, but lacks free will.
Alchemist	Enchanter	Cloth Homunculus	Exploration, Alchemy	A cloak of indeterminate length that resists gravity. When worn, the user can walk across water and glide while falling. When folded into a bag, objects within become nearly weightless. You can spend a use of this Kit to briefly change the cloak into a flying carpet, capable of carrying a small group of people.
Alchemist	Enchanter	Paper Homunculus	Exploration, Social, Alchemy	A set of paper talismans. You can spend a use of this Kit to fold a talisman, giving it life for the next twenty-four hours or until it’s destroyed. The talisman can fly, relay messages, and scout discretely. It has some intelligence, but lacks free will and cannot fight. You can sacrifice an active talisman to dispel a magical effect.
Alchemist	Enchanter	Quicksilver Homunculus	Combat, Exploration, Alchemy	A shapeshifting metal ooze, usually worn as a bracer or necklace. The ooze can become a variety of metal objects, provided that the object is not overly large or complex. The ooze is sentient, has some intelligence, and may act on its own to defend its creator. You can spend a use of this Kit to deflect a Physical attack.
Alchemist	Enchanter	Spirit of Animation	Magic, Alchemy	Awaken and imbue with purpose. Used to compel objects to move with a life of their own. You can spend this Kit’s uses to apply Knowledge or Perception instead of Magic when using this spirit.
Alchemist	Enchanter	Spirit of Transmutation	Magic, Alchemy	Transform and alter. Used to change substances into similar substances and modify the properties of objects. You can spend this Kit’s uses to apply Knowledge or Perception instead of Magic when using this spirit.
Alchemist	Sapper	Concussive Charges	Combat, Alchemy	Grenade that ruptures the ground or stuns those in the area with bright light and deafening sound. When used as a bullet, gains the “High Damage” status.
Alchemist	Sapper	Electromagnetic Charges	Combat, Alchemy	Grenade that covers an area with crackling electricity or magnetizes an area, forcing metal objects in the vicinity to adhere to one another. Can be used as a bullet to produce a smaller but more precise effect.
Alchemist	Sapper	Friction Charges	Combat, Alchemy	Grenade that covers an area with a grease slick or quick-drying adhesive. Can be used as a bullet to produce a smaller but more precise effect.
Alchemist	Sapper	Thermic Charges	Combat, Alchemy	Grenade that covers an area with roaring flames or a layer of ice. Can be used as a bullet to produce a smaller but more precise effect.
Alchemist	Sapper	Trenchsteel Charges	Combat, Alchemy	Grenade that covers an area with metal ball bearings or a sprawl of barbed wire. When used as a bullet, can change course mid-flight by detonating a second time.
Alchemist	Sapper	Vapor Charges	Combat, Alchemy	Grenade that covers an area in scalding steam or a billowing cloud of fog. When used as a bullet, can instantly rust through metals.
Mage	Celestial	Spirit of Divination	Exploration, Magic	Seek and learn. Used to scry for hidden things and reveal new information.
Mage	Celestial	Spirit of Heavens	Combat, Exploration, Magic	Smite and cleanse. Used to destroy undead and dispel magic.
Mage	Celestial	Spirit of Hells	Combat, Exploration, Magic	Corrupt and wrong. Used to raise the dead and curse the living.
Mage	Celestial	Spirit of Language	Social, Magic	Speak and understand. Used to communicate with all manner of creatures, even non-humans.
Mage	Celestial	Spirit of Restoration	Recovery, Magic	Restore and repair. Used to heal wounds and mend broken objects.
Mage	Celestial	Spirit of Warding	Combat, Magic	Seal and repel. Used to create barriers and push targets away.
Mage	Elementalist	Spirit of Aether	Combat, Exploration, Magic	Allows for control and limited manifestation of electricity.
Mage	Elementalist	Spirit of Air	Combat, Exploration, Magic	Allows for control and limited manifestation of air.
Mage	Elementalist	Spirit of Earth	Combat, Exploration, Magic	Allows for control and limited manifestation of earth.
Mage	Elementalist	Spirit of Flame	Combat, Exploration, Magic	Allows for control and limited manifestation of flame.
Mage	Elementalist	Spirit of Force	Combat, Exploration, Magic	Allows for control and limited manifestation of magnetism.
Mage	Elementalist	Spirit of Water	Combat, Exploration, Magic	Allows for control and limited manifestation of water.
Mage	Metaphysicist	Spirit of Binding	Exploration, Magic	Adhere and restrain. Used to lash things together with gravitational force.
Mage	Metaphysicist	Spirit of Entropy	Combat, Magic	Dissolve and disintegrate. Used to unravel targets into their base elements, as well as accelerate the process of decay.
Mage	Metaphysicist	Spirit of Light	Exploration, Social, Magic	Brighten and bend light. Used to create and manipulate illusory images, as well as to see afar.
Mage	Metaphysicist	Spirit of Locomotion	Exploration, Magic	Accelerate and slow. Used to manipulate kinetic energy, adding or taking away speed.
Mage	Metaphysicist	Spirit of Sound	Exploration, Social, Magic	Amplify and distort. Used to create and manipulate sound, as well as to listen in from a distance.
Mage	Metaphysicist	Spirit of Thermos	Exploration, Magic	Heat and cool. Used to manipulate thermal energy, adding or taking away temperature.
Scoundrel	Ranger	Camouflage	Combat, Exploration, Stealth	"Your sneak attacks do not break stealth. You can use ""Assume a Disguise"" to take on the appearance of terrain or common objects, such as trees or crates."
Scoundrel	Ranger	Lifesense	Exploration, Social	"You can sense the presence and absence of life. You can use ""I Know a Guy"" to focus your senses, feeling the emotions of those nearby and knowing when they lie. When communicating with spirits, you can use Cunning or Agility instead of Magic."
Scoundrel	Ranger	Prepared	Exploration, Health	Gain an additional two Prep Points. When you use a Prep Point to change Kits, you can change two Kits instead of one. You can use “What You Needed” without spending Prep Points.
Scoundrel	Ranger	Slayer	Combat, Recovery	"You instinctively know the weaknesses of monsters and beasts. You can use ""What You Needed"" to produce a weapon or ammunition that's particularly effective against a specific kind of creature. Attacks with this item gain the ""High Damage"" status. When you or an ally incapacitate an enemy with its weakness, you recover a Prep Point."
Scoundrel	Ranger	Spirit of Wood	Combat, Exploration, Magic	Allows for control and limited manifestation of plant matter. You can spend a Prep Point to use Cunning or Agility instead of Magic when using this spirit.
Scoundrel	Ranger	Tamer	Combat, Exploration, Social	"You can speak with and understand beasts. You can use ""I Know a Guy"" to recruit local a local beast to aid you. The beast can track, fight, and is capable of anything that a creature of its kind might otherwise do. The beast will follow your orders, but will prioritize its own survival. Only one beast can be recruited at a time."
Scoundrel	Spy	Assassinate	Combat, Stealth	"Your sneak attacks gain the ""High Damage"" status. If your sneak attack would otherwise have already had the ""High Damage"" status, it gains the ""Lethal"" status instead. You can use ""Assume a Disguise"" to disappear from plain sight, even in the middle of combat."
Scoundrel	Spy	Convincing Fake	Exploration, Social, Health	Choose a Skill you have no points in, and raise it to half the level of your highest Skill (rounded down). You can spend a Prep Point to change the chosen Skill, provided you have a few minutes to concentrate. You can use “Assume a Disguise” without spending Prep Points.
Scoundrel	Spy	Infiltration Team	Social, Stealth	"Nearby allies can use your Cunning when moving in stealth. When you use ""Assume a Disguise"", you can provide disguises to your allies as well. When you or an ally would otherwise be revealed, you can spend a Prep Point to prevent it."
Scoundrel	Spy	Iocane Powder	Combat, Social, Stealth	"Your sneak attacks gain the ""Soporific"" status, and cause short-term memory loss when used to render a target unconscious. You can use ""What You Needed"" to produce a vial of liquid that makes those who drink it highly suggestible. Those under the effects of the liquid will speak truthfully, but are visibly drugged, and slow to react."
Scoundrel	Spy	Spirit of Shadow	Magic, Stealth	Obscure and muffle. Used to manipulate darkness and quiet footsteps. You can spend a Prep Point to use Cunning or Agility instead of Magic when using this spirit.
Scoundrel	Spy	Unbounded	Exploration	"Locks, magic barriers, illusions, and similar obstacles fall apart at your touch. You can use ""What You Needed"" to produce specialized tools for infiltration, such as forged documents or badges of office."
Scoundrel	Swashbuckler	Arta Eres	Combat, Recovery	When you successfully defend against a melee attack, your attacker takes a point of Physical damage. When you incapacitate an attacker this way, you recover a Prep Point. You can move both before and after taking an action in combat.
Scoundrel	Swashbuckler	Arta Forteiza	Exploration, Recovery, Health	Gain an additional Physical box. You can exchange Mental boxes for Prep Points and vice versa, but can only do so once per action when in combat. You do not need to sleep, and cannot be rendered unconscious against your will, but can be incapacitated in other ways.
Scoundrel	Swashbuckler	Arta Loquit	Social	"You can use Cunning as though it were Magic, Bravery, or Knowledge for social purposes. You can spend a Prep Point to reroll a social action and take the new result, a maximum of one time per social action. You can use ""I Know a Guy"" without spending Prep Points."
Scoundrel	Swashbuckler	Arta Precis	Social	"You can use Cunning or Agility instead of Focus to detect and identify magic. You can use ""What You Needed"" to produce an item that can briefly channel or negate magic you've identified. You instinctively know when someone or something is hidden near you, though you do not know its precise location."
Scoundrel	Swashbuckler	Arta Tuco	Combat, Exploration	All of your attacks gain the “Delay” status. You can spend a Prep Point to move your turn in combat in front of someone else, acting before them. You cannot do so again until after you've completed your next turn. Whenever there’s a question of who goes first, the answer is you.
Scoundrel	Swashbuckler	Arta Valar	Combat, Social, Recovery	You can use Cunning or Agility to provoke in and out of combat. When you succeed on provoking someone, in combat or otherwise, you recover a Prep Point.
Soldier	Blood	Flowing Strike	Combat, Exploration	A technique for transitioning smoothly between movements. You can use Strength or Bravery in place of Agility for movement. When you attack with this technique, you can take one additional action besides another attack. You can spend a Fortune Point to convert the additional action into a second attack, or to use it in conjunction with another technique.
Soldier	Blood	Inner Flame	Combat, Exploration, Health	A technique for controlling one's body. At any time when you would otherwise spend a Fortune Point, you can spend a Physical box instead. When you recover Physical or Mental boxes, you recover one more than you would otherwise.
Soldier	Blood	Spirit of Blood	Recovery, Magic	Staunch bleeding and control blood flow. Used to treat wounds on the battlefield. You can spend a Fortune Point to use Strength or Bravery instead of Magic when using this spirit.
Soldier	Blood	Stone Shatter	Combat, Exploration	"A technique for breaking through armor and obstacles. Attacks made with this technique have the ""Destructive"" status, piercing through stone and metal. You can spend a Fortune Point to amplify the effects of this technique, or to use it in conjunction with another technique."
Soldier	Blood	Storm Blitz	Combat	A technique for striking multiple targets at once. Attacks made using this technique can hit up to three different targets in one action. You can spend a Fortune Point to double the number of targets for this technique, or to use it in conjunction with another technique.
Soldier	Blood	Wind Dance	Combat, Exploration	A technique for creating cutting winds through swift movement, significantly extending the range of melee and ranged attacks. The winds can be made narrow to cause Physical damage, or broad to create strong gusts. You can spend a Fortune Point to amplify the effects of this technique, or to use it in conjunction with another technique.
Soldier	Fortune	Clubs	Combat	"All of your attacks gain the ""Knockback"" status. You can spend a Fortune Point on a successful attack to give it the ""High Damage"" status. If the attack would otherwise have had ""High Damage"", it gains the ""Lethal"" status instead."
Soldier	Fortune	Diamonds	Combat, Exploration	"All of your attacks gain the ""Sharpshooter"" status. You can spend a Fortune Point to guarantee a 10 on your next roll."
Soldier	Fortune	Hearts	Social	You make a favorable impression when first meeting others, garnering respect or admiration. You can spend a Fortune Point to establish a reputation among a group or in an area, becoming a recognizable figure to many. You have Advantage when using Bravery or Strength to impress and inspire others.
Soldier	Fortune	Lucky	Exploration, Health	Gain an additional two Fortune Point boxes. When you use a Fortune Point to reroll, add a +1 to the reroll result. When a roll for luck is called, the result is always favorable for you.
Soldier	Fortune	Spades	Exploration, Recovery	When you roll a 1 you take a +0 instead of a -2 to the result. You recover a Fortune Point when you roll a 1.
Soldier	Fortune	Spirit of Chance	Exploration, Magic	Manipulate probability and tweak the odds. Used to alter the likelihood of events. You can spend a Fortune Point to use Strength or Bravery instead of Magic when using this spirit.
Soldier	Iron	Abjuring Chain	Combat, Exploration	"A whip lasso made of engraved metal chain links. The chain can be made rigid or loose by speaking a command word. Attacks with the whip gain the ""Spellbane"" status. You can spend a Fortune Point to activate the chain, creating a circle that prevents magic from moving in or out."
